"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Volume of Sales","2013 July","Existing","All","Filings","Household Buyer - Non-Occupier","Number","438"
"Volume of Sales","2013 July","Existing","All","Executions","All Buyer Types","Number","2150"
"Volume of Sales","2013 July","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","591"
"Volume of Sales","2013 July","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1117"
"Volume of Sales","2013 July","Existing","All","Executions","Household Buyer - Non-Occupier","Number","442"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2232"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","641"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1144"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","447"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2227"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","636"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1139"
"Volume of Sales","2013 August","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","452"
"Volume of Sales","2013 August","New","All","Filings","All Buyer Types","Number","261"
"Volume of Sales","2013 August","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","113"
"Volume of Sales","2013 August","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","103"
"Volume of Sales","2013 August","New","All","Filings","Household Buyer - Non-Occupier","Number","45"
"Volume of Sales","2013 August","New","All","Executions","All Buyer Types","Number","251"
"Volume of Sales","2013 August","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","100"
"Volume of Sales","2013 August","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","110"
"Volume of Sales","2013 August","New","All","Executions","Household Buyer - Non-Occupier","Number","41"
"Volume of Sales","2013 August","Existing","All","Filings","All Buyer Types","Number","1971"
"Volume of Sales","2013 August","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","528"
"Volume of Sales","2013 August","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1041"
"Volume of Sales","2013 August","Existing","All","Filings","Household Buyer - Non-Occupier","Number","402"
"Volume of Sales","2013 August","Existing","All","Executions","All Buyer Types","Number","1976"
"Volume of Sales","2013 August","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","536"
"Volume of Sales","2013 August","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1029"
"Volume of Sales","2013 August","Existing","All","Executions","Household Buyer - Non-Occupier","Number","411"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2228"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","689"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1125"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","414"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2233"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","674"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1138"
"Volume of Sales","2013 September","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","421"
"Volume of Sales","2013 September","New","All","Filings","All Buyer Types","Number","267"
"Volume of Sales","2013 September","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","126"
"Volume of Sales","2013 September","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","108"
"Volume of Sales","2013 September","New","All","Filings","Household Buyer - Non-Occupier","Number","33"
"Volume of Sales","2013 September","New","All","Executions","All Buyer Types","Number","234"
"Volume of Sales","2013 September","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","106"
"Volume of Sales","2013 September","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","89"
"Volume of Sales","2013 September","New","All","Executions","Household Buyer - Non-Occupier","Number","39"
"Volume of Sales","2013 September","Existing","All","Filings","All Buyer Types","Number","1961"
"Volume of Sales","2013 September","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","563"
"Volume of Sales","2013 September","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1017"
"Volume of Sales","2013 September","Existing","All","Filings","Household Buyer - Non-Occupier","Number","381"
"Volume of Sales","2013 September","Existing","All","Executions","All Buyer Types","Number","1999"
"Volume of Sales","2013 September","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","568"
"Volume of Sales","2013 September","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1049"
"Volume of Sales","2013 September","Existing","All","Executions","Household Buyer - Non-Occupier","Number","382"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2454"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","711"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1252"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","491"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2512"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","734"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1280"
"Volume of Sales","2013 October","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","498"
"Volume of Sales","2013 October","New","All","Filings","All Buyer Types","Number","275"
"Volume of Sales","2013 October","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","128"
"Volume of Sales","2013 October","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","106"
"Volume of Sales","2013 October","New","All","Filings","Household Buyer - Non-Occupier","Number","41"
"Volume of Sales","2013 October","New","All","Executions","All Buyer Types","Number","281"
"Volume of Sales","2013 October","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","125"
"Volume of Sales","2013 October","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","110"
"Volume of Sales","2013 October","New","All","Executions","Household Buyer - Non-Occupier","Number","46"
"Volume of Sales","2013 October","Existing","All","Filings","All Buyer Types","Number","2179"
"Volume of Sales","2013 October","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","583"
"Volume of Sales","2013 October","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1146"
"Volume of Sales","2013 October","Existing","All","Filings","Household Buyer - Non-Occupier","Number","450"
"Volume of Sales","2013 October","Existing","All","Executions","All Buyer Types","Number","2231"
"Volume of Sales","2013 October","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","609"
"Volume of Sales","2013 October","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1170"
"Volume of Sales","2013 October","Existing","All","Executions","Household Buyer - Non-Occupier","Number","452"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2552"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","755"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1297"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","500"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2429"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","729"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1225"
"Volume of Sales","2013 November","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","475"
"Volume of Sales","2013 November","New","All","Filings","All Buyer Types","Number","306"
"Volume of Sales","2013 November","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","121"
"Volume of Sales","2013 November","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","129"
"Volume of Sales","2013 November","New","All","Filings","Household Buyer - Non-Occupier","Number","56"
"Volume of Sales","2013 November","New","All","Executions","All Buyer Types","Number","312"
"Volume of Sales","2013 November","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","125"
"Volume of Sales","2013 November","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","141"
"Volume of Sales","2013 November","New","All","Executions","Household Buyer - Non-Occupier","Number","46"
"Volume of Sales","2013 November","Existing","All","Filings","All Buyer Types","Number","2246"
"Volume of Sales","2013 November","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","634"
"Volume of Sales","2013 November","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1168"
"Volume of Sales","2013 November","Existing","All","Filings","Household Buyer - Non-Occupier","Number","444"
"Volume of Sales","2013 November","Existing","All","Executions","All Buyer Types","Number","2117"
"Volume of Sales","2013 November","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","604"
"Volume of Sales","2013 November","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1084"
"Volume of Sales","2013 November","Existing","All","Executions","Household Buyer - Non-Occupier","Number","429"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2638"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","835"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1303"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","500"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Executions","All Buyer Types","Number","3688"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","1122"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1789"
"Volume of Sales","2013 December","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","777"
"Volume of Sales","2013 December","New","All","Filings","All Buyer Types","Number","405"
"Volume of Sales","2013 December","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","162"
"Volume of Sales","2013 December","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","162"
"Volume of Sales","2013 December","New","All","Filings","Household Buyer - Non-Occupier","Number","81"
"Volume of Sales","2013 December","New","All","Executions","All Buyer Types","Number","500"
"Volume of Sales","2013 December","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","212"
"Volume of Sales","2013 December","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","186"
"Volume of Sales","2013 December","New","All","Executions","Household Buyer - Non-Occupier","Number","102"
"Volume of Sales","2013 December","Existing","All","Filings","All Buyer Types","Number","2233"
"Volume of Sales","2013 December","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","673"
"Volume of Sales","2013 December","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1141"
"Volume of Sales","2013 December","Existing","All","Filings","Household Buyer - Non-Occupier","Number","419"
"Volume of Sales","2013 December","Existing","All","Executions","All Buyer Types","Number","3188"
"Volume of Sales","2013 December","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","910"
"Volume of Sales","2013 December","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1603"
"Volume of Sales","2013 December","Existing","All","Executions","Household Buyer - Non-Occupier","Number","675"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2756"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","789"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1297"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","670"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1556"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","433"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","704"
"Volume of Sales","2014 January","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","419"
"Volume of Sales","2014 January","New","All","Filings","All Buyer Types","Number","371"
"Volume of Sales","2014 January","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","155"
"Volume of Sales","2014 January","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","146"
"Volume of Sales","2014 January","New","All","Filings","Household Buyer - Non-Occupier","Number","70"
"Volume of Sales","2014 January","New","All","Executions","All Buyer Types","Number","189"
"Volume of Sales","2014 January","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","77"
"Volume of Sales","2014 January","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","77"
"Volume of Sales","2014 January","New","All","Executions","Household Buyer - Non-Occupier","Number","35"
"Volume of Sales","2014 January","Existing","All","Filings","All Buyer Types","Number","2385"
"Volume of Sales","2014 January","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","634"
"Volume of Sales","2014 January","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1151"
"Volume of Sales","2014 January","Existing","All","Filings","Household Buyer - Non-Occupier","Number","600"
"Volume of Sales","2014 January","Existing","All","Executions","All Buyer Types","Number","1367"
"Volume of Sales","2014 January","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","356"
"Volume of Sales","2014 January","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","627"
"Volume of Sales","2014 January","Existing","All","Executions","Household Buyer - Non-Occupier","Number","384"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1830"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","528"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","869"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","433"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1947"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","537"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","940"
"Volume of Sales","2014 February","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","470"
"Volume of Sales","2014 February","New","All","Filings","All Buyer Types","Number","255"
"Volume of Sales","2014 February","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","109"
"Volume of Sales","2014 February","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","101"
"Volume of Sales","2014 February","New","All","Filings","Household Buyer - Non-Occupier","Number","45"
"Volume of Sales","2014 February","New","All","Executions","All Buyer Types","Number","259"
"Volume of Sales","2014 February","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","115"
"Volume of Sales","2014 February","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","101"
"Volume of Sales","2014 February","New","All","Executions","Household Buyer - Non-Occupier","Number","43"
"Volume of Sales","2014 February","Existing","All","Filings","All Buyer Types","Number","1575"
"Volume of Sales","2014 February","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","419"
"Volume of Sales","2014 February","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","768"
"Volume of Sales","2014 February","Existing","All","Filings","Household Buyer - Non-Occupier","Number","388"
"Volume of Sales","2014 February","Existing","All","Executions","All Buyer Types","Number","1688"
"Volume of Sales","2014 February","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","422"
"Volume of Sales","2014 February","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","839"
"Volume of Sales","2014 February","Existing","All","Executions","Household Buyer - Non-Occupier","Number","427"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2211"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","615"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1016"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","580"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2143"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","604"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1017"
"Volume of Sales","2014 March","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","522"
"Volume of Sales","2014 March","New","All","Filings","All Buyer Types","Number","283"
"Volume of Sales","2014 March","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","120"
"Volume of Sales","2014 March","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","109"
"Volume of Sales","2014 March","New","All","Filings","Household Buyer - Non-Occupier","Number","54"
"Volume of Sales","2014 March","New","All","Executions","All Buyer Types","Number","278"
"Volume of Sales","2014 March","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","111"
"Volume of Sales","2014 March","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","126"
"Volume of Sales","2014 March","New","All","Executions","Household Buyer - Non-Occupier","Number","41"
"Volume of Sales","2014 March","Existing","All","Filings","All Buyer Types","Number","1928"
"Volume of Sales","2014 March","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","495"
"Volume of Sales","2014 March","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","907"
"Volume of Sales","2014 March","Existing","All","Filings","Household Buyer - Non-Occupier","Number","526"
"Volume of Sales","2014 March","Existing","All","Executions","All Buyer Types","Number","1865"
"Volume of Sales","2014 March","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","493"
"Volume of Sales","2014 March","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","891"
"Volume of Sales","2014 March","Existing","All","Executions","Household Buyer - Non-Occupier","Number","481"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2252"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","662"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1078"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","512"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2312"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","663"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1101"
"Volume of Sales","2014 April","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","548"
"Volume of Sales","2014 April","New","All","Filings","All Buyer Types","Number","311"
"Volume of Sales","2014 April","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","120"
"Volume of Sales","2014 April","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","141"
"Volume of Sales","2014 April","New","All","Filings","Household Buyer - Non-Occupier","Number","50"
"Volume of Sales","2014 April","New","All","Executions","All Buyer Types","Number","320"
"Volume of Sales","2014 April","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","124"
"Volume of Sales","2014 April","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","139"
"Volume of Sales","2014 April","New","All","Executions","Household Buyer - Non-Occupier","Number","57"
"Volume of Sales","2014 April","Existing","All","Filings","All Buyer Types","Number","1941"
"Volume of Sales","2014 April","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","542"
"Volume of Sales","2014 April","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","937"
"Volume of Sales","2014 April","Existing","All","Filings","Household Buyer - Non-Occupier","Number","462"
"Volume of Sales","2014 April","Existing","All","Executions","All Buyer Types","Number","1992"
"Volume of Sales","2014 April","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","539"
"Volume of Sales","2014 April","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","962"
"Volume of Sales","2014 April","Existing","All","Executions","Household Buyer - Non-Occupier","Number","491"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2492"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","701"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1205"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","586"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2633"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","761"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1250"
"Volume of Sales","2014 May","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","622"
"Volume of Sales","2014 May","New","All","Filings","All Buyer Types","Number","333"
"Volume of Sales","2014 May","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","143"
"Volume of Sales","2014 May","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","143"
"Volume of Sales","2014 May","New","All","Filings","Household Buyer - Non-Occupier","Number","47"
"Volume of Sales","2014 May","New","All","Executions","All Buyer Types","Number","365"
"Volume of Sales","2014 May","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","155"
"Volume of Sales","2014 May","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","151"
"Volume of Sales","2014 May","New","All","Executions","Household Buyer - Non-Occupier","Number","59"
"Volume of Sales","2014 May","Existing","All","Filings","All Buyer Types","Number","2159"
"Volume of Sales","2014 May","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","558"
"Volume of Sales","2014 May","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1062"
"Volume of Sales","2014 May","Existing","All","Filings","Household Buyer - Non-Occupier","Number","539"
"Volume of Sales","2014 May","Existing","All","Executions","All Buyer Types","Number","2268"
"Volume of Sales","2014 May","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","606"
"Volume of Sales","2014 May","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1099"
"Volume of Sales","2014 May","Existing","All","Executions","Household Buyer - Non-Occupier","Number","563"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Filings","All Buyer Types","Number","2502"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","720"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1197"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","585"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Executions","All Buyer Types","Number","2703"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","741"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1341"
"Volume of Sales","2014 June","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","621"
"Volume of Sales","2014 June","New","All","Filings","All Buyer Types","Number","330"
"Volume of Sales","2014 June","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","141"
"Volume of Sales","2014 June","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","126"
"Volume of Sales","2014 June","New","All","Filings","Household Buyer - Non-Occupier","Number","63"
"Volume of Sales","2014 June","New","All","Executions","All Buyer Types","Number","319"
"Volume of Sales","2014 June","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","144"
"Volume of Sales","2014 June","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","133"
"Volume of Sales","2014 June","New","All","Executions","Household Buyer - Non-Occupier","Number","42"
"Volume of Sales","2014 June","Existing","All","Filings","All Buyer Types","Number","2172"
"Volume of Sales","2014 June","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","579"
"Volume of Sales","2014 June","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1071"
"Volume of Sales","2014 June","Existing","All","Filings","Household Buyer - Non-Occupier","Number","522"
"Volume of Sales","2014 June","Existing","All","Executions","All Buyer Types","Number","2384"
"Volume of Sales","2014 June","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","597"
"Volume of Sales","2014 June","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","1208"
"Volume of Sales","2014 June","Existing","All","Executions","Household Buyer - Non-Occupier","Number","579"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Filings","All Buyer Types","Number","3300"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","887"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","1697"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","716"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Executions","All Buyer Types","Number","3294"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","889"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","1720"
"Volume of Sales","2014 July","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","685"
"Volume of Sales","2014 July","New","All","Filings","All Buyer Types","Number","416"
"Volume of Sales","2014 July","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","181"
"Volume of Sales","2014 July","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","175"
"Volume of Sales","2014 July","New","All","Filings","Household Buyer - Non-Occupier","Number","60"
"Volume of Sales","2014 July","New","All","Executions","All Buyer Types","Number","399"
"Volume of Sales","2014 July","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","171"
"Volume of Sales","2014 July","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","168"
"Volume of Sales","2014 July","New","All","Executions","Household Buyer - Non-Occupier","Number","60"
"Volume of Sales","2014 July","Existing","All","Filings","All Buyer Types","Number","2884"
"Volume of Sales","2014 July","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","706"
"Volume of Sales","2014 July","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","1522"
"Volume of Sales","2014 July","Existing","All","Filings","Household Buyer - Non-Occupier","Number","656"
