"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Volume of Sales","2010 March","New","All","Filings","All Buyer Types","Number","602"
"Volume of Sales","2010 March","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","367"
"Volume of Sales","2010 March","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","175"
"Volume of Sales","2010 March","New","All","Filings","Household Buyer - Non-Occupier","Number","60"
"Volume of Sales","2010 March","New","All","Executions","All Buyer Types","Number","459"
"Volume of Sales","2010 March","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","294"
"Volume of Sales","2010 March","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","118"
"Volume of Sales","2010 March","New","All","Executions","Household Buyer - Non-Occupier","Number","47"
"Volume of Sales","2010 March","Existing","All","Filings","All Buyer Types","Number","1005"
"Volume of Sales","2010 March","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","507"
"Volume of Sales","2010 March","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","367"
"Volume of Sales","2010 March","Existing","All","Filings","Household Buyer - Non-Occupier","Number","131"
"Volume of Sales","2010 March","Existing","All","Executions","All Buyer Types","Number","974"
"Volume of Sales","2010 March","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","515"
"Volume of Sales","2010 March","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","323"
"Volume of Sales","2010 March","Existing","All","Executions","Household Buyer - Non-Occupier","Number","136"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1493"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","803"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","493"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","197"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1406"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","760"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","467"
"Volume of Sales","2010 April","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","179"
"Volume of Sales","2010 April","New","All","Filings","All Buyer Types","Number","538"
"Volume of Sales","2010 April","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","288"
"Volume of Sales","2010 April","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","182"
"Volume of Sales","2010 April","New","All","Filings","Household Buyer - Non-Occupier","Number","68"
"Volume of Sales","2010 April","New","All","Executions","All Buyer Types","Number","410"
